"","countrycode","year","gii","scenario"
"1","DZA",1995,0.645675539772978,"Observed"
"2","AGO",1995,0.710327898981093,"Observed"
"3","ARG",1995,0.399009245060222,"Observed"
"4","ARM",1995,0.444100360373728,"Observed"
"5","AUS",1995,0.123883745316221,"Observed"
"6","AUT",1995,0.101206676517897,"Observed"
"7","AZE",1995,0.408605630636798,"Observed"
"8","BHS",1995,0.366241261342788,"Observed"
"9","BGD",1995,0.704811544492079,"Observed"
"10","BEL",1995,0.0855475368363764,"Observed"
"11","BLZ",1995,0.501111213587079,"Observed"
"12","BEN",1995,0.678933103558128,"Observed"
"13","BTN",1995,0.720446962293272,"Observed"
"14","BWA",1995,0.562729143315637,"Observed"
"15","BRA",1995,0.509357422262642,"Observed"
"16","BGR",1995,0.329142600325643,"Observed"
"17","BFA",1995,0.66200205412437,"Observed"
"18","CPV",1995,0.556394991275978,"Observed"
"19","KHM",1995,0.637334973452407,"Observed"
"20","CMR",1995,0.689189477807034,"Observed"
"21","CAN",1995,0.122056678594117,"Observed"
"22","CAF",1995,0.741643234671932,"Observed"
"23","TCD",1995,0.785095269124305,"Observed"
"24","CHL",1995,0.460125283163653,"Observed"
"25","COL",1995,0.5121549985754,"Observed"
"26","COM",1995,0.820744461540208,"Observed"
"27","CRI",1995,0.444453114195925,"Observed"
"28","HRV",1995,0.222252144534633,"Observed"
"29","CUB",1995,0.398503392096126,"Observed"
"30","CYP",1995,0.272291362485006,"Observed"
"31","CZE",1995,0.170933023896428,"Observed"
"32","CIV",1995,0.703293117132907,"Observed"
"33","DNK",1995,0.0137314088660693,"Observed"
"34","DOM",1995,0.580270023485723,"Observed"
"35","ECU",1995,0.573296329364325,"Observed"
"36","EGY",1995,0.637292677271673,"Observed"
"37","SLV",1995,0.517980713176076,"Observed"
"38","GNQ",1995,0.724799657348836,"Observed"
"39","EST",1995,0.348173907846734,"Observed"
"40","SWZ",1995,0.660074887467205,"Observed"
"41","FJI",1995,0.465985945486524,"Observed"
"42","FIN",1995,0.0195078268390424,"Observed"
"43","FRA",1995,0.128000584489446,"Observed"
"44","GAB",1995,0.655981611922836,"Observed"
"45","GMB",1995,0.762387347284115,"Observed"
"46","GEO",1995,0.405612746820523,"Observed"
"47","DEU",1995,0.0755247409788804,"Observed"
"48","GHA",1995,0.615392180687466,"Observed"
"49","GRC",1995,0.207854273308447,"Observed"
"50","GTM",1995,0.578410068212254,"Observed"
"51","GIN",1995,0.717731029992887,"Observed"
"52","GNB",1995,0.690266064999851,"Observed"
"53","HUN",1995,0.270895184041945,"Observed"
"54","ISL",1995,0.114307463801985,"Observed"
"55","IND",1995,0.673837373810298,"Observed"
"56","IDN",1995,0.557501138179779,"Observed"
"57","IRN",1995,0.642776861962877,"Observed"
"58","IRQ",1995,0.676854914636365,"Observed"
"59","IRL",1995,0.150167878727246,"Observed"
"60","ISR",1995,0.186351210635159,"Observed"
"61","ITA",1995,0.11053289842766,"Observed"
"62","JAM",1995,0.459793400823495,"Observed"
"63","JPN",1995,0.0692807949780984,"Observed"
"64","JOR",1995,0.654794710075709,"Observed"
"65","KAZ",1995,0.421414690161522,"Observed"
"66","KEN",1995,0.681445233178603,"Observed"
"67","PRK",1995,0.0669864151283933,"Observed"
"68","KOR",1995,0.192336628431567,"Observed"
"69","KWT",1995,0.546161636775004,"Observed"
